Date,Bar Name,Brand Name,Demand (ml),Forecast (ml),Par Level (ml),Closing Inventory (ml),Order Quantity (ml),Lost Demand (ml),Stockout Day
2023-12-28,Anderson's Bar,Absolut,0.0,0.0,240,330.0,0.0,0.0,False
2023-12-29,Anderson's Bar,Absolut,0.0,0.0,240,330.0,0.0,0.0,False
2023-12-30,Anderson's Bar,Absolut,0.0,0.0,240,330.0,0.0,0.0,False
2023-12-31,Anderson's Bar,Absolut,0.0,0.0,240,330.0,0.0,0.0,False
2024-01-01,Anderson's Bar,Absolut,0.0,0.0,240,330.0,0.0,0.0,False
2023-10-21,Anderson's Bar,Bacardi,0.0,19.360000000000003,450,450.0,0.0,0.0,False
2023-10-22,Anderson's Bar,Bacardi,0.0,0.0,420,450.0,0.0,0.0,False
2023-10-23,Anderson's Bar,Bacardi,0.0,0.0,420,450.0,0.0,0.0,False
2023-10-24,Anderson's Bar,Bacardi,0.0,0.0,420,450.0,0.0,0.0,False
2023-10-25,Anderson's Bar,Bacardi,103.08,0.0,420,346.92,73.07999999999998,0.0,False
2023-10-26,Anderson's Bar,Bacardi,0.0,14.725714285714286,450,346.92,30.0,0.0,False
2023-10-27,Anderson's Bar,Bacardi,419.47,14.725714285714286,450,0.5299999999999727,419.47,0.0,False
2023-10-28,Anderson's Bar,Bacardi,0.0,74.65,570,30.529999999999973,120.0,0.0,False
2023-10-29,Anderson's Bar,Bacardi,0.0,74.65,570,450.0,0.0,0.0,False
2023-10-30,Anderson's Bar,Bacardi,0.0,74.65,570,570.0,0.0,0.0,False
2023-10-31,Anderson's Bar,Bacardi,0.0,74.65,570,570.0,0.0,0.0,False
2023-11-01,Anderson's Bar,Bacardi,0.0,74.65,570,570.0,0.0,0.0,False
2023-11-02,Anderson's Bar,Bacardi,0.0,59.924285714285716,540,570.0,0.0,0.0,False
2023-11-03,Anderson's Bar,Bacardi,0.0,59.924285714285716,540,570.0,0.0,0.0,False
2023-11-04,Anderson's Bar,Bacardi,462.03,0.0,420,107.97000000000003,312.03,0.0,False
2023-11-05,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,107.97000000000003,120.0,0.0,False
2023-11-06,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,420.0,0.0,0.0,False
2023-11-07,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,540.0,0.0,0.0,False
2023-11-08,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,540.0,0.0,0.0,False
2023-11-09,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,540.0,0.0,0.0,False
2023-11-10,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,540.0,0.0,0.0,False
2023-11-11,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,540.0,0.0,0.0,False
2023-11-12,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-13,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-14,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-15,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-16,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-17,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-18,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-19,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-20,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-21,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-22,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-23,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-24,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-25,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-26,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-27,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-28,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-29,Anderson's Bar,Bacardi,0.0,0.0,420,540.0,0.0,0.0,False
2023-11-30,Anderson's Bar,Bacardi,447.39,0.0,420,92.61000000000001,327.39,0.0,False
2023-12-01,Anderson's Bar,Bacardi,0.0,63.91285714285714,540,92.61000000000001,120.0,0.0,False
2023-12-02,Anderson's Bar,Bacardi,0.0,63.91285714285714,540,420.0,0.0,0.0,False
2023-12-03,Anderson's Bar,Bacardi,253.14,63.91285714285714,540,286.86,253.14,0.0,False
2023-12-04,Anderson's Bar,Bacardi,0.0,100.07571428571428,630,286.86,90.0,0.0,False
2023-12-05,Anderson's Bar,Bacardi,0.0,100.07571428571428,630,540.0,0.0,0.0,False
2023-12-06,Anderson's Bar,Bacardi,0.0,100.07571428571428,630,630.0,0.0,0.0,False
2023-12-07,Anderson's Bar,Bacardi,385.4,100.07571428571428,630,244.60000000000002,385.4,0.0,False
2023-12-08,Anderson's Bar,Bacardi,0.0,91.22,600,244.60000000000002,0.0,0.0,False
2023-12-09,Anderson's Bar,Bacardi,0.0,91.22,600,630.0,0.0,0.0,False
2023-12-10,Anderson's Bar,Bacardi,323.19,91.22,600,306.81,293.19,0.0,False
2023-12-11,Anderson's Bar,Bacardi,0.0,101.22714285714285,630,306.81,30.0,0.0,False
2023-12-12,Anderson's Bar,Bacardi,0.0,101.22714285714285,630,600.0,0.0,0.0,False
2023-12-13,Anderson's Bar,Bacardi,0.0,101.22714285714285,630,630.0,0.0,0.0,False
2023-12-14,Anderson's Bar,Bacardi,0.0,101.22714285714285,630,630.0,0.0,0.0,False
2023-12-15,Anderson's Bar,Bacardi,0.0,46.17,510,630.0,0.0,0.0,False
2023-12-16,Anderson's Bar,Bacardi,0.0,46.17,510,630.0,0.0,0.0,False
2023-12-17,Anderson's Bar,Bacardi,0.0,46.17,510,630.0,0.0,0.0,False
2023-12-18,Anderson's Bar,Bacardi,0.0,0.0,420,630.0,0.0,0.0,False
2023-12-19,Anderson's Bar,Bacardi,0.0,0.0,420,630.0,0.0,0.0,False
2023-12-20,Anderson's Bar,Bacardi,0.0,0.0,420,630.0,0.0,0.0,False
2023-12-21,Anderson's Bar,Bacardi,0.0,0.0,420,630.0,0.0,0.0,False
2023-12-22,Anderson's Bar,Bacardi,0.0,0.0,420,630.0,0.0,0.0,False
2023-12-23,Anderson's Bar,Bacardi,517.0,0.0,420,113.0,307.0,0.0,False
2023-12-24,Anderson's Bar,Bacardi,0.0,73.85714285714286,570,113.0,150.0,0.0,False
2023-12-25,Anderson's Bar,Bacardi,0.0,73.85714285714286,570,420.0,0.0,0.0,False
2023-12-26,Anderson's Bar,Bacardi,0.0,73.85714285714286,570,570.0,0.0,0.0,False
2023-12-27,Anderson's Bar,Bacardi,319.29,73.85714285714286,570,250.70999999999998,319.29,0.0,False
2023-12-28,Anderson's Bar,Bacardi,475.96,119.47,660,0.0,340.71,225.25,True
