Bar Name,Brand Name,Chosen Model,Validation WAPE,Test WAPE,RMSE (ml)
Smith's Bar,Captain Morgan,7-day moving average,1.6469030461782372,1.7867168947674839,153.50317558923652
Smith's Bar,Coors,7-day moving average,1.6966639086924413,2.052562593243527,133.36433301573405
Smith's Bar,Grey Goose,7-day moving average,1.610847002949665,1.5979762195894562,173.3154138373388
Smith's Bar,Heineken,7-day moving average,1.7698262951670662,1.7288232323182338,137.47841971924947
Smith's Bar,Jack Daniels,7-day moving average,1.645524945899946,1.815109993471714,146.017139552822
Smith's Bar,Jameson,7-day moving average,1.6314234013061697,1.5770521666686597,143.972398583363
Smith's Bar,Jim Beam,day-of-week seasonal mean,1.605697819441164,1.9925794376688448,159.29494773187474
Smith's Bar,Malibu,7-day moving average,1.6438213835683424,1.457463424138069,169.1542770988645
Smith's Bar,Miller,day-of-week seasonal mean,1.619185166138369,2.043672029645997,149.33259674826297
Smith's Bar,Smirnoff,7-day moving average,1.7130473429707043,1.6596516810030835,131.8877866405827
Smith's Bar,Sutter Home,day-of-week seasonal mean,1.6622010962721878,1.5068117220045627,139.19440220571627
Smith's Bar,Yellow Tail,7-day moving average,1.6073695512431532,1.7200865795781914,167.06107334214713
Taylor's Bar,Absolut,7-day moving average,1.5504194628081203,2.03771269871753,132.04353846225945
Taylor's Bar,Bacardi,day-of-week seasonal mean,1.6547576162627051,2.5372743491237313,126.80194166108713
Taylor's Bar,Barefoot,day-of-week seasonal mean,1.5970579162715943,1.6927260640550106,144.16829153686754
Taylor's Bar,Budweiser,7-day moving average,1.7066090238951843,1.7049661687731394,167.9278709891024
Taylor's Bar,Captain Morgan,day-of-week seasonal mean,1.6942115717215804,1.5137535834462943,161.01057011297686
Taylor's Bar,Coors,7-day moving average,1.8027081308449142,1.625051095198321,123.98051214192576
Taylor's Bar,Grey Goose,day-of-week seasonal mean,1.5612913609224326,1.7847060484003239,170.94837951607073
Taylor's Bar,Heineken,day-of-week seasonal mean,1.7662756534591184,1.9501334858886348,110.04950041337293
Taylor's Bar,Jack Daniels,7-day moving average,1.6041782885126177,1.7450626477357487,161.42989698730625
Taylor's Bar,Jameson,day-of-week seasonal mean,1.6495376212217334,1.630595453253087,143.15520321066933
Taylor's Bar,Jim Beam,7-day moving average,1.5807587352412507,1.5094580042512786,149.28453603238967
Taylor's Bar,Malibu,7-day moving average,1.536770121529696,1.670162292828492,136.41997678066195
Taylor's Bar,Miller,day-of-week seasonal mean,1.7172077092281721,2.9999937028412775,132.86162314683875
Taylor's Bar,Smirnoff,7-day moving average,1.6307222910270016,1.468367501823697,151.28033831171635
Taylor's Bar,Sutter Home,7-day moving average,1.7037832041155665,1.7991115554275323,123.25592435842329
Taylor's Bar,Yellow Tail,7-day moving average,1.5682726755146423,1.6527113446697688,133.6284615833644
Thomas's Bar,Absolut,day-of-week seasonal mean,1.5925491303827948,1.7199234313114813,155.34002640236665
Thomas's Bar,Bacardi,day-of-week seasonal mean,1.4533204882610817,1.5741998846209484,149.76848448465935
Thomas's Bar,Barefoot,7-day moving average,1.673261196088027,1.6986466178147783,146.45150927142512
Thomas's Bar,Budweiser,7-day moving average,1.8153967129120738,1.6844217157782257,133.89357319014587
Thomas's Bar,Captain Morgan,7-day moving average,1.6385586923818662,1.6108400778416208,135.74666898704427
Thomas's Bar,Coors,7-day moving average,1.7285223712052569,1.8030989012028458,119.34328279699682
Thomas's Bar,Grey Goose,day-of-week seasonal mean,1.578470234601805,1.4111033093336858,165.4872256205388
Thomas's Bar,Heineken,7-day moving average,1.7813955865815723,1.7201511422331615,124.86565418111492
Thomas's Bar,Jack Daniels,day-of-week seasonal mean,1.5606585100155843,1.7368451807469314,178.409540465039
Thomas's Bar,Jameson,7-day moving average,1.740174382813419,1.1428571428571428,135.12530066494602
Thomas's Bar,Jim Beam,day-of-week seasonal mean,1.6355576633910673,1.7238082671592736,175.68206748079953
Thomas's Bar,Malibu,7-day moving average,1.5853854959380718,1.6696105860674737,159.59227286834343
Thomas's Bar,Miller,7-day moving average,1.6556232591943598,1.8932715777396814,184.89125773662653
Thomas's Bar,Smirnoff,day-of-week seasonal mean,1.6786252182747243,1.6787524988163498,139.0655694704129
Thomas's Bar,Sutter Home,7-day moving average,1.6787785814584906,2.0054247242785923,117.65948110609189
Thomas's Bar,Yellow Tail,7-day moving average,1.5953476261295874,1.5974317862450336,116.37236338799809
